,DriftU,Time,ForceU,Time,DriftV,Time,ForceV,Time,ForceZ,Time,AbsDriftUV,Energy,Degree,Time
ZS06_SumElem_Column:RC, 1.09690E-002, 1.95699E+001, 4.43072E+004, 1.95678E+001, 5.01584E-003, 1.95006E+001, 2.02919E+005, 1.94775E+001, 1.49746E+005, 1.94663E+001, 1.18145E-002, 9.10316E+002, -22.72, 1.95531E+001
ZS05_SumElem_Column:RC, 1.08884E-002, 1.95692E+001, 5.06421E+004, 1.95657E+001, 5.98899E-003, 1.95006E+001, 2.64479E+005, 1.94992E+001, 2.26265E+005, 1.94656E+001, 1.20204E-002, 1.24721E+003, -26.56, 1.95461E+001
ZS04_SumElem_Column:RC, 1.09537E-002, 1.95678E+001, 5.10200E+004, 1.89189E+001, 7.05912E-003, 1.95006E+001, 3.20130E+005, 1.94999E+001, 2.92766E+005, 1.94656E+001, 1.25032E-002, 8.49684E+002, -31.76, 1.95321E+001
ZS03_SumElem_Column:RC, 1.76927E-002, 1.88965E+001, 3.51689E+005, 1.92101E+001, 7.57533E-003, 1.95027E+001, 3.47798E+005, 1.95020E+001, 3.21376E+005, 1.58193E+001, 1.77698E-002, 3.61584E+003,-174.59, 1.88937E+001
ZS02_SumElem_Column:RC, 3.67450E-001, 1.95384E+001, 3.86867E+005, 1.92150E+001, 1.05446E-001, 1.95244E+001, 3.49120E+005, 1.94775E+001, 3.71453E+005, 1.58193E+001, 3.82207E-001, 1.60339E+005, -15.98, 1.95356E+001
ZS01_SumElem_Column:RC, 4.21088E-005, 1.92157E+001, 4.00923E+005, 1.92164E+001, 1.69512E-005, 1.94768E+001, 3.30973E+005, 1.94761E+001, 3.90074E+005, 1.58193E+001, 4.26025E-005, 8.17653E+000,  -8.73, 1.92157E+001
ZS08_SumElem_Wall:BearingWall, 1.09961E-002, 1.95706E+001, 4.42676E+004, 1.88762E+001, 3.71167E-003, 1.94684E+001, 0.00000E+000, 0.00000E+000, 5.11216E+004, 1.95202E+001, 1.15053E-002, 2.79868E+002, -17.54, 1.95601E+001
ZS07_SumElem_Wall:BearingWall, 1.10030E-002, 1.95699E+001, 1.19006E+005, 1.88755E+001, 4.25220E-003, 1.94747E+001, 0.00000E+000, 0.00000E+000, 7.13853E+004, 1.95209E+001, 1.16460E-002, 1.00105E+003, -19.75, 1.95573E+001
ZS06_SumElem_Wall:BearingWall, 1.09690E-002, 1.95699E+001, 1.83533E+005, 1.88769E+001, 5.01584E-003, 1.95006E+001, 0.00000E+000, 0.00000E+000, 6.51495E+004, 1.95188E+001, 1.18145E-002, 1.68532E+003, -22.72, 1.95531E+001
ZS05_SumElem_Wall:BearingWall, 1.08884E-002, 1.95692E+001, 2.37876E+005, 1.88797E+001, 5.98899E-003, 1.95006E+001, 0.00000E+000, 0.00000E+000, 1.05099E+005, 1.95202E+001, 1.20204E-002, 2.33845E+003, -26.56, 1.95461E+001
ZS04_SumElem_Wall:BearingWall, 1.09537E-002, 1.95678E+001, 3.56504E+005, 1.88839E+001, 7.05912E-003, 1.95006E+001, 0.00000E+000, 0.00000E+000, 1.39727E+005, 1.95216E+001, 1.25032E-002, 3.83827E+003, -31.76, 1.95321E+001
ZS08_SumForLm_0, 1.09961E-002, 1.95706E+001, 6.90633E+004, 1.92976E+001, 3.71167E-003, 1.94684E+001, 9.43511E+004, 1.94586E+001, 4.82858E+004, 1.58200E+001, 1.15053E-002, 7.34233E+002, -17.54, 1.95601E+001
ZS07_SumForLm_0, 1.10030E-002, 1.95699E+001, 1.35688E+005, 1.92976E+001, 4.25220E-003, 1.94747E+001, 1.63142E+005, 1.94565E+001, 1.04921E+005, 1.58193E+001, 1.16460E-002, 1.64616E+003, -19.75, 1.95573E+001
ZS06_SumForLm_0, 1.09690E-002, 1.95699E+001, 1.97435E+005, 1.88755E+001, 5.01584E-003, 1.95006E+001, 2.02919E+005, 1.94775E+001, 1.61180E+005, 1.58193E+001, 1.18145E-002, 2.59564E+003, -22.72, 1.95531E+001
ZS05_SumForLm_0, 1.08884E-002, 1.95692E+001, 2.55062E+005, 1.88776E+001, 5.98899E-003, 1.95006E+001, 2.64479E+005, 1.94992E+001, 2.16769E+005, 1.58193E+001, 1.20204E-002, 3.58566E+003, -26.56, 1.95461E+001
ZS04_SumForLm_0, 1.09537E-002, 1.95678E+001, 3.07198E+005, 1.88811E+001, 7.05912E-003, 1.95006E+001, 3.20130E+005, 1.94999E+001, 2.71429E+005, 1.58193E+001, 1.25032E-002, 4.68795E+003, -31.76, 1.95321E+001
ZS03_SumForLm_0, 1.76927E-002, 1.88965E+001, 3.51689E+005, 1.92101E+001, 7.57533E-003, 1.95027E+001, 3.47798E+005, 1.95020E+001, 3.21376E+005, 1.58193E+001, 1.77698E-002, 3.61584E+003,-174.59, 1.88937E+001
ZS02_SumForLm_0, 3.67450E-001, 1.95384E+001, 3.86867E+005, 1.92150E+001, 1.05446E-001, 1.95244E+001, 3.49120E+005, 1.94775E+001, 3.71453E+005, 1.58193E+001, 3.82207E-001, 1.60339E+005, -15.98, 1.95356E+001
ZS01_SumForLm_0, 4.21088E-005, 1.92157E+001, 4.00923E+005, 1.92164E+001, 1.69512E-005, 1.94768E+001, 3.30973E+005, 1.94761E+001, 3.90074E+005, 1.58193E+001, 4.26025E-005, 8.17653E+000,  -8.73, 1.92157E+001
ZS08_StiffCenter, 1.09963E-002, 1.95706E+001, 0.00000E+000, 0.00000E+000, 3.72138E-003, 1.94684E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.15121E-002, 0.00000E+000, -17.65, 1.95601E+001
ZS07_StiffCenter, 1.10030E-002, 1.95699E+001, 0.00000E+000, 0.00000E+000, 4.21843E-003, 1.94733E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.16231E-002, 0.00000E+000, -19.43, 1.95573E+001
ZS06_StiffCenter, 1.09690E-002, 1.95699E+001, 0.00000E+000, 0.00000E+000, 4.96634E-003, 1.94936E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.17857E-002, 0.00000E+000, -22.38, 1.95531E+001
ZS05_StiffCenter, 1.08887E-002, 1.95692E+001, 0.00000E+000, 0.00000E+000, 5.93532E-003, 1.94999E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.19864E-002, 0.00000E+000, -26.23, 1.95461E+001
ZS04_StiffCenter, 1.09533E-002, 1.95678E+001, 0.00000E+000, 0.00000E+000, 6.99410E-003, 1.95006E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.24570E-002, 0.00000E+000, -31.52, 1.95314E+001
ZS03_StiffCenter, 1.76928E-002, 1.88965E+001, 0.00000E+000, 0.00000E+000, 7.74092E-003, 1.95020E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.77920E-002, 0.00000E+000, -21.35, 1.95503E+001
ZS02_StiffCenter, 3.67449E-001, 1.95384E+001, 0.00000E+000, 0.00000E+000, 9.35718E-002, 1.95097E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 3.78884E-001, 0.00000E+000, -14.14, 1.95342E+001
ZS01_StiffCenter, 4.21088E-005, 1.92157E+001, 0.00000E+000, 0.00000E+000, 1.43696E-005, 1.83694E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 4.25852E-005, 0.00000E+000,  -8.58, 1.92157E+001
