,DriftU,Time,ForceU,Time,DriftV,Time,ForceV,Time,ForceZ,Time,AbsDriftUV,Energy,Degree,Time
ZS04_SumElemWithoutDamper, 1.67290E-003, 1.95839E+001, 4.34019E+005, 1.95608E+001, 2.22235E-003, 2.08271E+001, 2.13775E+005, 2.08271E+001, 8.12686E+004, 1.58151E+001, 2.39902E-003, 5.48555E+002, -55.70, 1.99899E+001
ZS03_SumElemWithoutDamper, 9.75298E-003, 1.95727E+001, 5.14536E+005, 1.95622E+001, 2.87310E-003, 1.97652E+001, 2.38880E+005, 2.08222E+001, 9.64579E+004, 1.58151E+001, 9.76093E-003, 3.38269E+003, 177.57, 1.95748E+001
ZS02_SumElemWithoutDamper, 4.03201E-002, 1.95762E+001, 5.86474E+005, 1.95657E+001, 7.83834E-003, 1.97736E+001, 2.58969E+005, 2.08124E+001, 1.11758E+005, 1.58158E+001, 4.03201E-002, 1.65082E+004, 179.98, 1.95762E+001
ZS01_SumElemWithoutDamper, 7.23697E-005, 1.95622E+001, 5.97452E+005, 1.95615E+001, 1.86304E-005, 2.08131E+001, 2.62134E+005, 2.08124E+001, 1.18105E+005, 1.58165E+001, 7.25196E-005, 2.25670E+001, 176.29, 1.95629E+001
ZS08_SumElem_Column:RC, 1.55977E-003, 1.95867E+001, 2.72260E+004, 1.95888E+001, 7.28887E-004, 2.08411E+001, 4.49304E+004, 2.08432E+001, 2.43272E+004, 2.33877E+001, 1.59880E-003, 2.06889E+001, -15.18, 1.99297E+001
ZS07_SumElem_Column:RC, 1.58446E-003, 1.95867E+001, 2.82459E+004, 1.99157E+001, 1.05783E-003, 2.08383E+001, 9.47952E+004, 2.08411E+001, 4.19250E+004, 2.03343E+001, 1.68589E-003, 3.21716E+001, -23.91, 1.99458E+001
ZS06_SumElem_Column:RC, 1.58259E-003, 1.95860E+001, 3.31133E+004, 1.98982E+001, 1.47352E-003, 2.08348E+001, 1.39893E+005, 2.08376E+001, 8.59059E+004, 2.03763E+001, 1.84051E-003, 7.03166E+001, -40.59, 1.99752E+001
ZS05_SumElem_Column:RC, 1.50386E-003, 1.95867E+001, 4.54850E+004, 1.98975E+001, 1.88399E-003, 2.08313E+001, 1.79793E+005, 2.08313E+001, 1.07708E+005, 2.03770E+001, 2.07195E-003, 1.26139E+002, -53.70, 1.99920E+001
ZS04_SumElem_Column:RC, 1.67290E-003, 1.95839E+001, 4.01958E+004, 1.95636E+001, 2.22235E-003, 2.08271E+001, 2.13775E+005, 2.08271E+001, 1.52935E+005, 2.03763E+001, 2.39902E-003, 7.45220E+001, -55.70, 1.99899E+001
ZS03_SumElem_Column:RC, 9.75298E-003, 1.95727E+001, 5.14536E+005, 1.95622E+001, 2.87310E-003, 1.97652E+001, 2.38880E+005, 2.08222E+001, 9.64579E+004, 1.58151E+001, 9.76093E-003, 3.38269E+003, 177.57, 1.95748E+001
ZS02_SumElem_Column:RC, 4.03201E-002, 1.95762E+001, 5.86474E+005, 1.95657E+001, 7.83834E-003, 1.97736E+001, 2.58969E+005, 2.08124E+001, 1.11758E+005, 1.58158E+001, 4.03201E-002, 1.65082E+004, 179.98, 1.95762E+001
ZS01_SumElem_Column:RC, 7.23697E-005, 1.95622E+001, 5.97452E+005, 1.95615E+001, 1.86304E-005, 2.08131E+001, 2.62134E+005, 2.08124E+001, 1.18105E+005, 1.58165E+001, 7.25196E-005, 2.25670E+001, 176.29, 1.95629E+001
ZS08_SumElem_Wall:BearingWall, 1.55977E-003, 1.95867E+001, 5.25899E+004, 1.95279E+001, 7.28887E-004, 2.08411E+001, 0.00000E+000, 0.00000E+000, 2.46036E+004, 2.33674E+001, 1.59880E-003, 6.74374E+001, -15.18, 1.99297E+001
ZS07_SumElem_Wall:BearingWall, 1.58446E-003, 1.95867E+001, 1.44322E+005, 1.95335E+001, 1.05783E-003, 2.08383E+001, 0.00000E+000, 0.00000E+000, 4.17169E+004, 2.03014E+001, 1.68589E-003, 1.66501E+002, -23.91, 1.99458E+001
ZS06_SumElem_Wall:BearingWall, 1.58259E-003, 1.95860E+001, 2.30206E+005, 1.95412E+001, 1.47352E-003, 2.08348E+001, 0.00000E+000, 0.00000E+000, 8.36065E+004, 2.03063E+001, 1.84051E-003, 2.37675E+002, -40.59, 1.99752E+001
ZS05_SumElem_Wall:BearingWall, 1.50386E-003, 1.95867E+001, 3.11493E+005, 1.95566E+001, 1.88399E-003, 2.08313E+001, 0.00000E+000, 0.00000E+000, 9.92833E+004, 2.03651E+001, 2.07195E-003, 2.88276E+002, -53.70, 1.99920E+001
ZS04_SumElem_Wall:BearingWall, 1.67290E-003, 1.95839E+001, 4.74202E+005, 1.95622E+001, 2.22235E-003, 2.08271E+001, 0.00000E+000, 0.00000E+000, 1.44076E+005, 2.03532E+001, 2.39902E-003, 4.74033E+002, -55.70, 1.99899E+001
ZS08_SumForLm_0, 1.55977E-003, 1.95867E+001, 7.89260E+004, 1.95321E+001, 7.28887E-004, 2.08411E+001, 4.49304E+004, 2.08432E+001, 1.43983E+004, 1.58144E+001, 1.59880E-003, 8.81263E+001, -15.18, 1.99297E+001
ZS07_SumForLm_0, 1.58446E-003, 1.95867E+001, 1.69822E+005, 1.95349E+001, 1.05783E-003, 2.08383E+001, 9.47952E+004, 2.08411E+001, 3.12943E+004, 1.58144E+001, 1.68589E-003, 1.98673E+002, -23.91, 1.99458E+001
ZS06_SumForLm_0, 1.58259E-003, 1.95860E+001, 2.58522E+005, 1.95419E+001, 1.47352E-003, 2.08348E+001, 1.39893E+005, 2.08376E+001, 4.81176E+004, 1.58144E+001, 1.84051E-003, 3.07992E+002, -40.59, 1.99752E+001
ZS05_SumForLm_0, 1.50386E-003, 1.95867E+001, 3.46612E+005, 1.95580E+001, 1.88399E-003, 2.08313E+001, 1.79793E+005, 2.08313E+001, 6.47906E+004, 1.58144E+001, 2.07195E-003, 4.14415E+002, -53.70, 1.99920E+001
ZS04_SumForLm_0, 1.67290E-003, 1.95839E+001, 4.34019E+005, 1.95608E+001, 2.22235E-003, 2.08271E+001, 2.13775E+005, 2.08271E+001, 8.12686E+004, 1.58151E+001, 2.39902E-003, 5.48555E+002, -55.70, 1.99899E+001
ZS03_SumForLm_0, 9.75298E-003, 1.95727E+001, 5.14536E+005, 1.95622E+001, 2.87310E-003, 1.97652E+001, 2.38880E+005, 2.08222E+001, 9.64579E+004, 1.58151E+001, 9.76093E-003, 3.38269E+003, 177.57, 1.95748E+001
ZS02_SumForLm_0, 4.03201E-002, 1.95762E+001, 5.86474E+005, 1.95657E+001, 7.83834E-003, 1.97736E+001, 2.58969E+005, 2.08124E+001, 1.11758E+005, 1.58158E+001, 4.03201E-002, 1.65082E+004, 179.98, 1.95762E+001
ZS01_SumForLm_0, 7.23697E-005, 1.95622E+001, 5.97452E+005, 1.95615E+001, 1.86304E-005, 2.08131E+001, 2.62134E+005, 2.08124E+001, 1.18105E+005, 1.58165E+001, 7.25196E-005, 2.25670E+001, 176.29, 1.95629E+001
ZS08_StiffCenter, 1.55975E-003, 1.95867E+001, 0.00000E+000, 0.00000E+000, 7.28675E-004, 2.08418E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.59688E-003, 0.00000E+000, -14.93, 1.99297E+001
ZS07_StiffCenter, 1.58445E-003, 1.95867E+001, 0.00000E+000, 0.00000E+000, 1.05792E-003, 2.08376E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.69528E-003, 0.00000E+000, -24.98, 1.99472E+001
ZS06_StiffCenter, 1.58259E-003, 1.95860E+001, 0.00000E+000, 0.00000E+000, 1.47479E-003, 2.08341E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.85728E-003, 0.00000E+000, -41.39, 1.99759E+001
ZS05_StiffCenter, 1.50378E-003, 1.95867E+001, 0.00000E+000, 0.00000E+000, 1.88725E-003, 2.08306E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 2.09184E-003, 0.00000E+000, -53.94, 1.99913E+001
ZS04_StiffCenter, 1.67300E-003, 1.95839E+001, 0.00000E+000, 0.00000E+000, 2.22929E-003, 2.08264E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 2.42496E-003, 0.00000E+000, -56.11, 1.99899E+001
ZS03_StiffCenter, 9.75288E-003, 1.95727E+001, 0.00000E+000, 0.00000E+000, 2.68496E-003, 1.97442E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 9.76475E-003, 0.00000E+000, 177.08, 1.95748E+001
ZS02_StiffCenter, 4.03201E-002, 1.95762E+001, 0.00000E+000, 0.00000E+000, 5.06602E-003, 1.97519E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 4.03412E-002, 0.00000E+000, 178.14, 1.95769E+001
ZS01_StiffCenter, 7.23698E-005, 1.95622E+001, 0.00000E+000, 0.00000E+000, 1.88046E-005, 1.97589E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 7.24243E-005, 0.00000E+000, 177.74, 1.95629E+001
